participant_id,session_index,feedback_mode,feedback_focus,target_position_x,target_position_y,target_label,target_depth_min,target_depth_max,avg_error,std_error,avg_depth,std_depth,avg_bpm,std_bpm,n_valid_timesteps
10,0,audio,position,7,5,t5,40,50,1.8292958579881662,0.3536453042604232,40.42051724137931,10.119188570170449,132.091350877193,32.88371779173866,239
10,1,belt,position,6,10,t4,33,40,1.7647878787878788,1.4415782251570726,29.85471698113208,6.483960356219986,114.53501923076922,31.18304246855627,236
10,2,box,position,5,5,t1,40,50,1.08825988700565,0.7853678041694706,41.45702702702703,7.055936877232233,139.54004109589042,16.78157148374563,254
10,3,glove,position,6,10,t4,33,40,2.7938729281767953,0.7105043188944518,35.68933333333333,5.5549050996994245,94.73313636363638,31.390701901120995,236
10,4,N/A,N/A,7,5,t5,40,50,2.60902479338843,0.07886073746937389,,,,,121
10,5,screen,position,7,5,t5,40,50,3.2899942196531793,0.2243904137213883,44.614655172413784,3.2560560104462115,117.26812280701755,20.742328332037395,237
11,0,audio,position,6,10,t4,33,40,3.2515975609756094,2.0319798308951746,,,,,180
11,1,belt,position,6,10,t4,33,40,4.545850574712644,0.7579739559522929,48.549523809523805,0.6224157457393067,114.61627419354839,10.21907692815391,250
11,2,box,position,7,5,t5,40,50,1.1215269461077846,0.7424214534503758,,,,,176
11,3,glove,position,6,10,t4,33,40,5.695599999999999,1.234800305428256,48.53640625,0.6688992057559476,119.35934920634922,12.101311658093469,255
11,4,N/A,N/A,6,10,t4,33,40,6.924328467153284,0.5726575786002551,,,,,137
11,5,screen,position,7,5,t5,40,50,0.5682558139534883,0.3467072079544833,,,,,177
12,0,audio,position,6,10,t4,33,40,4.2776645161290325,1.681172341638204,49.753928571428574,3.4187699743848077,123.08388888888891,10.722242998252757,196
12,1,belt,position,7,5,t5,40,50,2.0433614457831326,1.014200356602604,,,,,178
12,2,box,position,2,9,t3,33,40,2.7018666666666666,0.9591956133377928,,,,,180
12,3,glove,position,5,3,t6,33,40,1.1231573033707867,0.2855138832050738,,,,,188
12,4,N/A,N/A,5,3,t6,33,40,1.0825080645161291,0.46933770247788703,,,,,124
12,5,screen,position,5,3,t6,33,40,1.3674355828220859,0.8963625405675071,51.05456140350877,3.945100923786512,119.37923214285713,10.222654640187072,231
